title,list_label,link,salary,finish_days
Mencari programmer untuk scrapper data,Python| PHP| Flask Python| Web Scrapping,https://projects.co.id/public/browse_projects/view/9f731b/mencari-programmer-untuk-scrapper-data,Rp 750.000 - 1.500.000,2
Setup Email / SMTP aplikasi codeigniter plus berikan video langkah2 nya,Web Programming| CodeIgniter,https://projects.co.id/public/browse_projects/view/6c761b/setup-email-smtp-aplikasi-codeigniter-plus-berikan-video-langkah2-nya,Rp 250.000 - 350.000,7
Buat Prototype Mobile App Sederhana,Mobile Programming| JavaScript| Flutter,https://projects.co.id/public/browse_projects/view/09761b/buat-prototype-mobile-app-sederhana,Rp 1.500.000 - 2.000.000,7
Website Penilaian E-Skor Silat,MySQL| PHP| Laravel Framework,https://projects.co.id/public/browse_projects/view/63761b/website-penilaian-e-skor-silat,Rp 2.000.000 - 3.000.000,7
Cari Partner Coding,MySQL| jQuery| PHP| CodeIgniter| Bootstrap| Laravel Framework,https://projects.co.id/public/browse_projects/view/48761b/cari-partner-coding,Rp 1.500.000 - 1.500.000,14
Dicari Aplikasi / Fitur Filter Telegram,Telegram,https://projects.co.id/public/browse_projects/view/18761b/dicari-aplikasi-fitur-filter-telegram,Rp 500.000 - 750.000,5
Dicari Akun Canva Kreator Element,Canva,https://projects.co.id/public/browse_projects/view/36761b/dicari-akun-canva-kreator-element,Rp 1.500.000 - 3.200.000,7
Dicari Akun GODEV (Google Play Console) Bekas,Google Cloud Developer| Google Cloud Engine| Google Workspace,https://projects.co.id/public/browse_projects/view/0c761b/dicari-akun-godev-google-play-console-bekas,Rp 1.500.000 - 2.500.000,7
Dicari Jasa Buat Backlink Manual,Affiliate Marketing| Search Engine Optimization (SEO),https://projects.co.id/public/browse_projects/view/82751b/dicari-jasa-buat-backlink-manual,Rp 500.000 - 1.000.000,7
cara fyp tiktok,Social Media Marketing (SMM)| Copywriter| Social Media,https://projects.co.id/public/browse_projects/view/ce711b/cara-fyp-tiktok,Rp 500.000 - 1.250.000,7
Butuh aplikasi untuk gudang jagung,Business Consultation| Analysis| ERP,https://projects.co.id/public/browse_projects/view/fd751b/butuh-aplikasi-untuk-gudang-jagung,Rp 1.000.000 - 1.500.000,3
Whatsapp centang / Whatsapp Verify,Blue Tick Whatapp,https://projects.co.id/public/browse_projects/view/9b741b/whatsapp-centang-whatsapp-verify,Rp 1.000.000 - 2.000.000,8
Dicari Akun Canva Kreator Element yang tidak terawat| kosongan atau sudah isi Element.,Canva,https://projects.co.id/public/browse_projects/view/be751b/dicari-akun-canva-kreator-element-yang-tidak-terawat-kosongan-atau-sudah-isi-element,Rp 2.000.000 - 4.000.000,7
Dicari Whatsapp Verif / Centang Hijau,Blue Tick Whatapp,https://projects.co.id/public/browse_projects/view/9e741b/dicari-whatsapp-verif-centang-hijau,Rp 1.000.000 - 2.000.000,7
tracking device penyewa motor,Android| Windows Mobile| Android studio| Flutter,https://projects.co.id/public/browse_projects/view/8b751b/tracking-device-penyewa-motor,Rp 1.500.000 - 3.000.000,7
redisgn aplikasi android,Flutter,https://projects.co.id/public/browse_projects/view/94751b/redisgn-aplikasi-android,Rp 1.000.000 - 2.000.000,14
